utc_timestamp,cet_cest_timestamp,FR_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_transparency,FR_load_actual_tso,FR_load_forecast_entsoe_transparency,FR_load_forecast_tso,FR_solar_generation_actual,FR_wind_onshore_generation_actual
2013-01-01T00:00:00Z,2013-01-01T01:00:00+0100,57243,,57816,,57650,0,4006
2013-01-01T01:00:00Z,2013-01-01T02:00:00+0100,54377,,56952,,57000,0,3864
2013-01-01T02:00:00Z,2013-01-01T03:00:00+0100,50796,,53508,,54050,0,3625
2013-01-01T03:00:00Z,2013-01-01T04:00:00+0100,49041,,50328,,51250,0,3564
2013-01-01T04:00:00Z,2013-01-01T05:00:00+0100,48634,,49030,,49750,0,3452
2013-01-01T05:00:00Z,2013-01-01T06:00:00+0100,48739,,48778,,49150,0,3363
2013-01-01T06:00:00Z,2013-01-01T07:00:00+0100,48782,,48724,,49000,0,3340
2013-01-01T07:00:00Z,2013-01-01T08:00:00+0100,48313,,48586,,49100,0,3266
2013-01-01T08:00:00Z,2013-01-01T09:00:00+0100,50170,,48636,,49200,24,3003
2013-01-01T09:00:00Z,2013-01-01T10:00:00+0100,52016,,50552,,51350,186,2779
2013-01-01T10:00:00Z,2013-01-01T11:00:00+0100,54068,,52574,,53700,396,2496
2013-01-01T11:00:00Z,2013-01-01T12:00:00+0100,56973,,54836,,55900,546,2384
2013-01-01T12:00:00Z,2013-01-01T13:00:00+0100,54211,,56282,,57150,602,2320
2013-01-01T13:00:00Z,2013-01-01T14:00:00+0100,52314,,53972,,54500,550,2146
2013-01-01T14:00:00Z,2013-01-01T15:00:00+0100,51556,,52062,,52350,389,1751
2013-01-01T15:00:00Z,2013-01-01T16:00:00+0100,52701,,51674,,51900,186,1515
2013-01-01T16:00:00Z,2013-01-01T17:00:00+0100,58622,,54096,,54450,16,1340
2013-01-01T17:00:00Z,2013-01-01T18:00:00+0100,61059,,59234,,59200,0,1502
2013-01-01T18:00:00Z,2013-01-01T19:00:00+0100,61611,,61414,,61350,0,1707
2013-01-01T19:00:00Z,2013-01-01T20:00:00+0100,59978,,61232,,61150,0,1872
2013-01-01T20:00:00Z,2013-01-01T21:00:00+0100,57722,,59364,,59650,0,1828
2013-01-01T21:00:00Z,2013-01-01T22:00:00+0100,61450,,58169,,58550,0,1878
2013-01-01T22:00:00Z,2013-01-01T23:00:00+0100,60074,,60870,,60600,0,1856
2013-01-01T23:00:00Z,2013-01-02T00:00:00+0100,55986,,59298,,58200,0,1762
2013-01-02T00:00:00Z,2013-01-02T01:00:00+0100,55737,,56016,,55500,0,1686
2013-01-02T01:00:00Z,2013-01-02T02:00:00+0100,53627,,55624,,55400,0,1759
2013-01-02T02:00:00Z,2013-01-02T03:00:00+0100,51941,,53148,,52650,0,1714
2013-01-02T03:00:00Z,2013-01-02T04:00:00+0100,52467,,51970,,51050,0,1551
2013-01-02T04:00:00Z,2013-01-02T05:00:00+0100,55818,,53342,,52900,0,1453
2013-01-02T05:00:00Z,2013-01-02T06:00:00+0100,60787,,57147,,56550,0,1400
2013-01-02T06:00:00Z,2013-01-02T07:00:00+0100,65500,,62042,,61150,0,1298
2013-01-02T07:00:00Z,2013-01-02T08:00:00+0100,67683,,66174,,65850,0,1288
2013-01-02T08:00:00Z,2013-01-02T09:00:00+0100,69361,,68143,,68750,116,1163
2013-01-02T09:00:00Z,2013-01-02T10:00:00+0100,69824,,69562,,70550,500,1033
2013-01-02T10:00:00Z,2013-01-02T11:00:00+0100,70727,,70020,,71300,907,964
2013-01-02T11:00:00Z,2013-01-02T12:00:00+0100,71066,,70762,,72350,1188,935
2013-01-02T12:00:00Z,2013-01-02T13:00:00+0100,68982,,70336,,72200,1303,985
2013-01-02T13:00:00Z,2013-01-02T14:00:00+0100,66747,,68691,,70750,1153,1012
2013-01-02T14:00:00Z,2013-01-02T15:00:00+0100,65315,,66304,,68750,816,1054
2013-01-02T15:00:00Z,2013-01-02T16:00:00+0100,66221,,65334,,67800,369,1108
