utc_timestamp,FR_windspeed_10m,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2013-01-01T00:00:00Z,6.65,6.238,0,0
2013-01-01T01:00:00Z,6.21,6.245,0,0
2013-01-01T02:00:00Z,5.89,6.263,0,0
2013-01-01T03:00:00Z,5.56,6.26,0,0
2013-01-01T04:00:00Z,5.27,6.208,0,0
2013-01-01T05:00:00Z,5.13,6.129,0,0
2013-01-01T06:00:00Z,5.21,6.078,2.57E-05,0.000874252
2013-01-01T07:00:00Z,5.26,6.021,0.054437742,2.425462258
2013-01-01T08:00:00Z,5.26,6.151,0.865540129,27.46665987
2013-01-01T09:00:00Z,5.27,6.55,4.277068161,74.82633184
2013-01-01T10:00:00Z,5.3,7.057,11.12661029,119.3819897
2013-01-01T11:00:00Z,5.48,7.486,19.22334164,146.7127584
2013-01-01T12:00:00Z,5.41,7.679,19.86841326,145.0263867
2013-01-01T13:00:00Z,4.98,7.604,13.10228873,117.5285113
2013-01-01T14:00:00Z,4.11,7.176,5.309235221,71.06376478
2013-01-01T15:00:00Z,3.41,6.082,1.107242322,22.56085768
2013-01-01T16:00:00Z,3.42,5.112,0.015926337,0.486573663
2013-01-01T17:00:00Z,3.52,4.828,0,0
2013-01-01T18:00:00Z,3.58,4.582,0,0
2013-01-01T19:00:00Z,3.63,4.357,0,0
2013-01-01T20:00:00Z,3.75,4.178,0,0
2013-01-01T21:00:00Z,3.74,3.939,0,0
2013-01-01T22:00:00Z,3.77,3.734,0,0
2013-01-01T23:00:00Z,3.8,3.6,0,0
2013-01-02T00:00:00Z,3.78,3.48,0,0
2013-01-02T01:00:00Z,3.72,3.411,0,0
2013-01-02T02:00:00Z,3.68,3.298,0,0
2013-01-02T03:00:00Z,3.64,3.057,0,0
2013-01-02T04:00:00Z,3.62,2.799,0,0
2013-01-02T05:00:00Z,3.58,2.688,0,0
2013-01-02T06:00:00Z,3.48,2.663,4.72E-06,0.000295279
2013-01-02T07:00:00Z,3.41,2.728,0.277629786,4.576670214
2013-01-02T08:00:00Z,3.61,3.308,3.611743577,41.72875642
2013-01-02T09:00:00Z,3.76,4.255,13.7352338,94.8345662
2013-01-02T10:00:00Z,3.86,5.248,36.46103886,139.1860611
2013-01-02T11:00:00Z,4.11,6.279,65.58704939,157.5745506
2013-01-02T12:00:00Z,4.36,6.958,76.381693,152.662707
2013-01-02T13:00:00Z,4.29,7.156,55.87310361,131.3393964
2013-01-02T14:00:00Z,3.68,6.805,23.93941051,89.60308949
